(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '平日', '早上'}), frozenset({'普通重型機車', '直路'}), 1015, 0.5880648899188876)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '普通重型機車', '早上'}), frozenset({'平日', '直路'}), 1015, 0.7524091919940696)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '直路', '平日', '早上'}), frozenset({'普通重型機車'}), 1015, 0.6682027649769585)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '直路', '早上'}), frozenset({'普通重型機車', '平日'}), 1015, 0.5586130985140341)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '直路', '普通重型機車', '早上'}), frozenset({'平日'}), 1015, 0.8444259567387687)
(frozenset({'20-40歲', '晴', '直路', '平日', '早上'}), frozenset({'一般車道(未劃分快慢車道)'}), 1125, 0.7933709449929478)
(frozenset({'20-40歲', '直路', '平日', '早上'}), frozenset({'晴', '一般車道(未劃分快慢車道)'}), 1125, 0.5868544600938967)
(frozenset({'20-40歲', '晴', '直路', '早上'}), frozenset({'平日', '一般車道(未劃分快慢車道)'}), 1125, 0.6809927360774818)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '直路', '平日', '早上'}), frozenset({'晴'}), 1125, 0.7406188281764319)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '平日', '早上'}), frozenset({'晴', '直路'}), 1125, 0.6517960602549246)
(frozenset({'早上', '20-40歲', '一般車道(未劃分快慢車道)'}), frozenset({'平日', '晴', '直路'}), 1125, 0.541385948026949)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '直路', '早上'}), frozenset({'晴', '平日'}), 1125, 0.6191524490919097)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '晴', '平日', '早上'}), frozenset({'直路'}), 1125, 0.8693972179289027)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '晴', '早上'}), frozenset({'平日', '直路'}), 1125, 0.741106719367589)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '晴', '直路', '早上'}), frozenset({'平日'}), 1125, 0.8587786259541985)
(frozenset({'20-40歲', '直路', '男', '平日', '早上'}), frozenset({'一般車道(未劃分快慢車道)'}), 1019, 0.7868725868725869)
(frozenset({'20-40歲', '直路', '平日', '早上'}), frozenset({'男', '一般車道(未劃分快慢車道)'}), 1019, 0.5315597287428273)
(frozenset({'20-40歲', '直路', '男', '早上'}), frozenset({'平日', '一般車道(未劃分快慢車道)'}), 1019, 0.648631444939529)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '男', '平日', '早上'}), frozenset({'直路'}), 1019, 0.8679727427597955)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '平日', '早上'}), frozenset({'男', '直路'}), 1019, 0.5903823870220162)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '男', '早上'}), frozenset({'平日', '直路'}), 1019, 0.7150877192982457)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '直路', '平日', '早上'}), frozenset({'男'}), 1019, 0.6708360763660303)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '直路', '早上'}), frozenset({'男', '平日'}), 1019, 0.5608145294441387)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '直路', '男', '早上'}), frozenset({'平日'}), 1019, 0.8244336569579288)
(frozenset({'晴', '直路', '普通重型機車', '男', '早上'}), frozenset({'一般車道(未劃分快慢車道)'}), 1135, 0.7987332864180154)
(frozenset({'直路', '普通重型機車', '男', '早上'}), frozenset({'晴', '一般車道(未劃分快慢車道)'}), 1135, 0.5920709441836203)
(frozenset({'晴', '直路', '普通重型機車', '早上'}), frozenset({'男', '一般車道(未劃分快慢車道)'}), 1135, 0.5407336827060505)
(frozenset({'一般車道(未劃分快慢車道)', '直路', '普通重型機車', '男', '早上'}), frozenset({'晴'}), 1135, 0.7531519575315195)
(frozenset({'一般車道(未劃分快慢車道)', '普通重型機車', '男', '早上'}), frozenset({'晴', '直路'}), 1135, 0.6614219114219114)
(frozenset({'一般車道(未劃分快慢車道)', '直路', '普通重型機車', '早上'}), frozenset({'男', '晴'}), 1135, 0.5066964285714286)
(frozenset({'一般車道(未劃分快慢車道)', '晴', '普通重型機車', '男', '早上'}), frozenset({'直路'}), 1135, 0.8697318007662835)
(frozenset({'一般車道(未劃分快慢車道)', '晴', '普通重型機車', '早上'}), frozenset({'男', '直路'}), 1135, 0.591762252346194)
(frozenset({'一般車道(未劃分快慢車道)', '晴', '直路', '男', '早上'}), frozenset({'普通重型機車'}), 1135, 0.5128784455490285)
(frozenset({'一般車道(未劃分快慢車道)', '晴', '直路', '普通重型機車', '早上'}), frozenset({'男'}), 1135, 0.6735905044510386)
(frozenset({'晴', '直路', '普通重型機車', '平日', '早上'}), frozenset({'一般車道(未劃分快慢車道)'}), 1405, 0.7960339943342776)
(frozenset({'直路', '普通重型機車', '平日', '早上'}), frozenset({'晴', '一般車道(未劃分快慢車道)'}), 1405, 0.6019708654670094)
(frozenset({'晴', '直路', '普通重型機車', '早上'}), frozenset({'平日', '一般車道(未劃分快慢車道)'}), 1405, 0.6693663649356837)
(frozenset({'一般車道(未劃分快慢車道)', '直路', '普通重型機車', '平日', '早上'}), frozenset({'晴'}), 1405, 0.7631721890277023)
(frozenset({'一般車道(未劃分快慢車道)', '普通重型機車', '平日', '早上'}), frozenset({'晴', '直路'}), 1405, 0.6764564275397208)
(frozenset({'普通重型機車', '早上', '一般車道(未劃分快慢車道)'}), frozenset({'平日', '晴', '直路'}), 1405, 0.5566561014263075)
(frozenset({'一般車道(未劃分快慢車道)', '直路', '普通重型機車', '早上'}), frozenset({'晴', '平日'}), 1405, 0.6272321428571429)
(frozenset({'一般車道(未劃分快慢車道)', '晴', '普通重型機車', '平日', '早上'}), frozenset({'直路'}), 1405, 0.8770287141073658)
