發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
106,8,15,21,7,2,07信義區,信義區基隆路2段99-1號,0,1,1,C03,1,26,2,8,50,14,9
106,9,16,23,57,2,07信義區,信義區市民大道6段與松山路口,0,2,2,C03,2,48,2,8,50,4,2
106,9,17,1,34,2,07信義區,信義區光復南路102號,0,1,1,F01,1,53,2,8,50,14,9
106,9,26,14,30,2,07信義區,信義區忠孝東路5段524巷與松山路465巷口口,0,1,1,B12,1,61,3,8,30,4,1
106,9,26,14,30,2,07信義區,信義區忠孝東路5段524巷與松山路465巷口口,0,1,2,C03,2,41,2,8,30,4,1
106,9,27,7,18,2,07信義區,信義區市民大道6段與松山路口口,0,1,1,F01,1,49,4,8,40,4,2
106,9,27,7,18,2,07信義區,信義區市民大道6段與松山路口口,0,1,2,C03,1,29,2,8,40,4,2
106,8,26,22,0,2,07信義區,信義區福德街51巷與福德街口,0,1,1,B03,1,33,3,8,30,3,1
106,8,26,22,0,2,07信義區,信義區福德街51巷與福德街口,0,1,2,C03,1,22,2,8,30,3,1
106,8,30,18,50,2,07信義區,信義區吳興街156巷與信安街口,0,1,1,B03,2,38,3,8,30,3,1
106,8,30,18,50,2,07信義區,信義區吳興街156巷與信安街口,0,1,2,H01,2,57,2,8,30,3,1
106,8,30,21,20,2,07信義區,信義區信義路5段128號,0,1,1,B01,1,57,3,8,50,14,9
106,8,30,21,20,2,07信義區,信義區信義路5段128號,0,1,2,C03,1,40,2,8,50,14,9
106,8,31,17,29,2,07信義區,信義區東興路65號,0,1,2,B03,1,21,3,8,50,14,7
106,8,31,17,29,2,07信義區,信義區東興路65號,0,1,1,C03,2,29,2,8,50,14,7
106,9,1,11,15,2,07信義區,信義區林口街10巷與林口街口,0,1,1,B03,1,58,3,6,40,3,1
